Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number
176,34,45,0.228,Stab,1,1
176,34,44,0.229,Stab,1,1
176,34,44,0.23,Stab,1,1
176,34,40,0.231,Stab,1,1
176,34,45,0.232,Stab,1,1
176,34,44,0.234,Stab,1,1
176,34,44,0.235,Stab,1,1
176,34,45,0.236,Stab,1,1
176,34,40,0.236,Stab,1,1
176,34,44,0.237,Stab,1,1
176,34,45,0.238,Stab,1,1
176,34,44,0.239,Stab,1,1
176,34,45,0.24,Stab,1,1
176,34,41,0.242,Stab,1,1
176,34,45,0.243,Stab,1,1
176,34,47,0.243,Stab,1,1
176,34,46,0.245,Stab,1,1
176,34,45,0.245,Stab,1,1
176,34,42,0.246,Stab,1,1
176,34,47,0.247,Stab,1,1
176,34,47,0.248,Stab,1,1
176,34,47,0.249,Stab,1,1
176,34,46,0.25,Stab,1,1
176,34,43,0.251,Stab,1,1
176,34,49,0.252,Stab,1,1
176,34,46,0.253,Stab,1,1
176,34,48,0.255,Stab,1,1
176,34,49,0.255,Stab,1,1
176,34,45,0.256,Stab,1,1
176,34,48,0.258,Stab,1,1
176,34,48,0.258,Stab,1,1
176,34,48,0.26,Stab,1,1
176,34,49,0.26,Stab,1,1
176,34,46,0.261,Stab,1,1
176,34,50,0.262,Stab,1,1
176,34,50,0.263,Stab,1,1
176,34,51,0.264,Stab,1,1
176,34,51,0.265,Stab,1,1
176,34,49,0.266,Stab,1,1
176,34,51,0.267,Stab,1,1
176,34,52,0.268,Stab,1,1
176,34,52,0.269,Stab,1,1
176,34,52,0.271,Stab,1,1
176,34,52,0.272,Stab,1,1
176,34,51,0.272,Stab,1,1
176,34,54,0.274,Stab,1,1
176,34,54,0.274,Stab,1,1
176,34,54,0.275,Stab,1,1
176,34,54,0.276,Stab,1,1
176,34,53,0.277,Stab,1,1
176,34,55,0.278,Stab,1,1
176,34,55,0.279,Stab,1,1
176,34,55,0.28,Stab,1,1
176,34,56,0.281,Stab,1,1
176,34,55,0.283,Stab,1,1
176,34,56,0.284,Stab,1,1
176,34,56,0.284,Stab,1,1
176,34,57,0.286,Stab,1,1
176,34,57,0.287,Stab,1,1
176,34,56,0.287,Stab,1,1
176,34,58,0.288,Stab,1,1
176,34,58,0.289,Stab,1,1
176,34,58,0.29,Stab,1,1
176,34,58,0.291,Stab,1,1
176,34,57,0.292,Stab,1,1
176,34,59,0.293,Stab,1,1
176,34,59,0.294,Stab,1,1
176,34,59,0.295,Stab,1,1
176,34,59,0.296,Stab,1,1
