Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number
176,34,65,0.394,Flare,1,1
176,34,65,0.396,Flare,1,1
176,34,63,0.399,Flare,1,1
176,34,63,0.402,Flare,1,1
176,34,63,0.404,Flare,1,1
176,34,63,0.404,Flare,1,1
176,34,63,0.405,Flare,1,1
176,34,63,0.406,Flare,1,1
176,34,63,0.407,Flare,1,1
176,34,62,0.408,Flare,1,1
176,34,63,0.409,Flare,1,1
176,34,62,0.41,Flare,1,1
176,34,62,0.411,Flare,1,1
176,34,62,0.412,Flare,1,1
176,34,62,0.413,Flare,1,1
176,34,62,0.414,Flare,1,1
176,34,62,0.415,Flare,1,1
176,34,61,0.416,Flare,1,1
176,34,61,0.417,Flare,1,1
176,34,61,0.419,Flare,1,1
176,34,61,0.419,Flare,1,1
176,34,60,0.42,Flare,1,1
176,34,60,0.421,Flare,1,1
176,34,61,0.422,Flare,1,1
176,34,60,0.423,Flare,1,1
176,34,60,0.424,Flare,1,1
176,34,61,0.425,Flare,1,1
176,34,59,0.426,Flare,1,1
176,34,60,0.427,Flare,1,1
176,34,59,0.428,Flare,1,1
176,34,60,0.43,Flare,1,1
176,34,59,0.43,Flare,1,1
176,34,58,0.431,Flare,1,1
176,34,60,0.432,Flare,1,1
176,34,59,0.434,Flare,1,1
176,34,58,0.435,Flare,1,1
176,34,59,0.436,Flare,1,1
176,34,58,0.436,Flare,1,1
176,34,58,0.437,Flare,1,1
176,34,59,0.438,Flare,1,1
176,34,59,0.439,Flare,1,1
176,34,58,0.441,Flare,1,1
176,34,57,0.441,Flare,1,1
176,34,57,0.442,Flare,1,1
176,34,58,0.443,Flare,1,1
176,34,57,0.444,Flare,1,1
176,34,58,0.446,Flare,1,1
176,34,56,0.447,Flare,1,1
176,34,57,0.447,Flare,1,1
176,34,57,0.449,Flare,1,1
176,34,56,0.449,Flare,1,1
176,34,57,0.45,Flare,1,1
176,34,55,0.451,Flare,1,1
176,34,56,0.452,Flare,1,1
176,34,56,0.453,Flare,1,1
176,34,55,0.454,Flare,1,1
176,34,56,0.455,Flare,1,1
176,34,53,0.456,Flare,1,1
176,34,55,0.457,Flare,1,1
176,34,55,0.458,Flare,1,1
176,34,55,0.46,Flare,1,1
176,34,55,0.461,Flare,1,1
176,34,54,0.461,Flare,1,1
176,34,52,0.463,Flare,1,1
176,34,54,0.463,Flare,1,1
176,34,54,0.464,Flare,1,1
176,34,53,0.465,Flare,1,1
176,34,53,0.466,Flare,1,1
176,34,51,0.467,Flare,1,1
176,34,53,0.468,Flare,1,1
176,34,53,0.47,Flare,1,1
176,34,52,0.47,Flare,1,1
176,34,53,0.471,Flare,1,1
176,34,49,0.473,Flare,1,1
176,34,52,0.473,Flare,1,1
176,34,52,0.474,Flare,1,1
176,34,51,0.476,Flare,1,1
176,34,52,0.476,Flare,1,1
176,34,49,0.477,Flare,1,1
176,34,51,0.478,Flare,1,1
176,34,50,0.479,Flare,1,1
176,34,51,0.481,Flare,1,1
176,34,50,0.481,Flare,1,1
176,34,47,0.482,Flare,1,1
176,34,51,0.483,Flare,1,1
176,34,49,0.484,Flare,1,1
176,34,49,0.486,Flare,1,1
176,34,48,0.486,Flare,1,1
176,34,46,0.487,Flare,1,1
176,34,48,0.488,Flare,1,1
176,34,48,0.489,Flare,1,1
176,34,48,0.491,Flare,1,1
176,34,47,0.492,Flare,1,1
176,34,44,0.492,Flare,1,1
176,34,47,0.493,Flare,1,1
176,34,47,0.494,Flare,1,1
176,34,47,0.495,Flare,1,1
176,34,47,0.496,Flare,1,1
176,34,42,0.497,Flare,1,1
176,34,47,0.498,Flare,1,1
176,34,45,0.499,Flare,1,1
176,34,46,0.501,Flare,1,1
176,34,45,0.502,Flare,1,1
176,34,41,0.502,Flare,1,1
176,34,44,0.504,Flare,1,1
176,34,44,0.505,Flare,1,1
176,34,45,0.506,Flare,1,1
176,34,46,0.507,Flare,1,1
176,34,44,0.508,Flare,1,1
176,34,40,0.509,Flare,1,1
176,34,45,0.51,Flare,1,1
176,34,44,0.511,Flare,1,1
176,34,44,0.512,Flare,1,1
176,34,43,0.513,Flare,1,1
176,34,39,0.514,Flare,1,1
176,34,43,0.515,Flare,1,1
176,34,44,0.516,Flare,1,1
176,34,43,0.517,Flare,1,1
176,34,43,0.518,Flare,1,1
176,34,39,0.519,Flare,1,1
176,34,43,0.52,Flare,1,1
176,34,43,0.521,Flare,1,1
176,34,42,0.522,Flare,1,1
176,34,43,0.523,Flare,1,1
176,34,37,0.524,Flare,1,1
176,34,43,0.525,Flare,1,1
176,34,42,0.526,Flare,1,1
176,34,42,0.527,Flare,1,1
176,34,42,0.528,Flare,1,1
176,34,38,0.529,Flare,1,1
176,34,42,0.53,Flare,1,1
182,31,127,0.531,Flare,1,1
182,63,111,0.531,Flare,1,1
176,34,41,0.531,Flare,1,1
182,31,126,0.532,Flare,1,1
182,63,111,0.532,Flare,1,1
176,34,42,0.532,Flare,1,1
182,31,125,0.533,Flare,1,1
182,63,111,0.533,Flare,1,1
176,34,43,0.533,Flare,1,1
182,31,124,0.534,Flare,1,1
182,63,79,0.534,Flare,1,1
176,34,39,0.534,Flare,1,1
182,31,123,0.535,Flare,1,1
182,63,62,0.535,Flare,1,1
176,34,42,0.535,Flare,1,1
182,31,122,0.536,Flare,1,1
182,63,46,0.536,Flare,1,1
176,34,43,0.536,Flare,1,1
182,31,121,0.537,Flare,1,1
182,63,14,0.537,Flare,1,1
176,34,42,0.537,Flare,1,1
182,31,120,0.538,Flare,1,1
182,63,46,0.538,Flare,1,1
176,34,42,0.538,Flare,1,1
182,31,119,0.539,Flare,1,1
182,63,14,0.539,Flare,1,1
176,34,38,0.539,Flare,1,1
182,31,118,0.54,Flare,1,1
182,63,14,0.54,Flare,1,1
176,34,42,0.54,Flare,1,1
182,31,117,0.541,Flare,1,1
182,63,30,0.541,Flare,1,1
176,34,43,0.541,Flare,1,1
182,31,116,0.542,Flare,1,1
182,63,14,0.542,Flare,1,1
176,34,42,0.542,Flare,1,1
182,31,115,0.543,Flare,1,1
182,63,46,0.543,Flare,1,1
176,34,41,0.543,Flare,1,1
182,31,114,0.544,Flare,1,1
182,63,77,0.544,Flare,1,1
176,34,39,0.544,Flare,1,1
182,31,113,0.545,Flare,1,1
182,63,93,0.545,Flare,1,1
176,34,43,0.545,Flare,1,1
182,31,112,0.546,Flare,1,1
182,63,61,0.546,Flare,1,1
176,34,42,0.546,Flare,1,1
182,31,111,0.547,Flare,1,1
182,63,125,0.547,Flare,1,1
176,34,43,0.547,Flare,1,1
182,31,110,0.548,Flare,1,1
182,63,125,0.548,Flare,1,1
176,34,44,0.548,Flare,1,1
182,31,110,0.549,Flare,1,1
182,63,45,0.549,Flare,1,1
176,34,38,0.549,Flare,1,1
182,31,109,0.55,Flare,1,1
182,63,93,0.55,Flare,1,1
176,34,44,0.55,Flare,1,1
182,31,108,0.551,Flare,1,1
182,63,125,0.551,Flare,1,1
176,34,44,0.551,Flare,1,1
182,31,107,0.552,Flare,1,1
182,63,125,0.552,Flare,1,1
176,34,43,0.552,Flare,1,1
182,31,107,0.553,Flare,1,1
182,63,45,0.553,Flare,1,1
176,34,44,0.553,Flare,1,1
182,31,106,0.554,Flare,1,1
182,63,60,0.554,Flare,1,1
176,34,44,0.554,Flare,1,1
182,31,106,0.555,Flare,1,1
182,63,12,0.555,Flare,1,1
176,34,41,0.555,Flare,1,1
182,31,105,0.556,Flare,1,1
182,63,28,0.556,Flare,1,1
176,34,45,0.556,Flare,1,1
182,31,104,0.557,Flare,1,1
182,63,108,0.557,Flare,1,1
176,34,44,0.557,Flare,1,1
182,31,104,0.558,Flare,1,1
182,63,76,0.558,Flare,1,1
176,34,46,0.558,Flare,1,1
182,31,103,0.559,Flare,1,1
182,63,60,0.559,Flare,1,1
176,34,46,0.559,Flare,1,1
182,31,102,0.56,Flare,1,1
182,63,124,0.56,Flare,1,1
176,34,42,0.56,Flare,1,1
182,31,102,0.561,Flare,1,1
182,63,92,0.561,Flare,1,1
176,34,46,0.561,Flare,1,1
176,34,46,0.562,Flare,1,1
182,31,101,0.563,Flare,1,1
182,63,124,0.563,Flare,1,1
176,34,47,0.563,Flare,1,1
182,31,101,0.564,Flare,1,1
182,63,60,0.564,Flare,1,1
176,34,46,0.564,Flare,1,1
176,34,43,0.565,Flare,1,1
182,31,100,0.566,Flare,1,1
182,63,44,0.566,Flare,1,1
176,34,47,0.566,Flare,1,1
176,34,48,0.567,Flare,1,1
176,34,48,0.568,Flare,1,1
182,31,99,0.569,Flare,1,1
182,63,60,0.569,Flare,1,1
176,34,47,0.569,Flare,1,1
176,34,45,0.57,Flare,1,1
176,34,48,0.571,Flare,1,1
176,34,48,0.572,Flare,1,1
176,34,49,0.573,Flare,1,1
176,34,48,0.574,Flare,1,1
176,34,47,0.575,Flare,1,1
176,34,50,0.576,Flare,1,1
176,34,50,0.577,Flare,1,1
176,34,50,0.578,Flare,1,1
176,34,50,0.579,Flare,1,1
176,34,48,0.58,Flare,1,1
176,34,51,0.581,Flare,1,1
176,34,52,0.582,Flare,1,1
176,34,51,0.583,Flare,1,1
176,34,52,0.584,Flare,1,1
176,34,49,0.585,Flare,1,1
176,34,53,0.586,Flare,1,1
176,34,52,0.587,Flare,1,1
176,34,54,0.588,Flare,1,1
176,34,53,0.589,Flare,1,1
176,34,52,0.59,Flare,1,1
