,Unnamed: 0,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
36941,20773,182,31,127,0.132,Chirp,1,5,1,1.279921875
36942,20657,176,34,79,0.133,Chirp,1,5,1,-144.14000000000027
36943,20773,182,31,127,0.133,Chirp,1,5,1,1.279921875
36944,20657,176,34,79,0.134,Chirp,1,5,1,-144.14000000000027
36945,20773,182,31,127,0.134,Chirp,1,5,1,1.279921875
36946,20659,176,34,74,0.135,Chirp,1,5,1,-144.13000000000028
36947,20773,182,31,127,0.135,Chirp,1,5,1,1.279921875
36948,20660,176,34,74,0.136,Chirp,1,5,1,-144.1200000000003
36949,20773,182,31,127,0.136,Chirp,1,5,1,1.279921875
36950,20661,176,34,74,0.137,Chirp,1,5,1,-144.1100000000003
36951,20773,182,31,127,0.137,Chirp,1,5,1,1.279921875
36952,20662,176,34,77,0.138,Chirp,1,5,1,-144.0970000000003
36953,20773,182,31,127,0.138,Chirp,1,5,1,1.279921875
36954,20663,176,34,75,0.139,Chirp,1,5,1,-144.0860000000003
36955,20773,182,31,127,0.139,Chirp,1,5,1,1.279921875
36956,20664,176,34,75,0.14,Chirp,1,5,1,-144.0750000000003
36957,20773,182,31,127,0.14,Chirp,1,5,1,1.279921875
36958,20665,176,34,74,0.141,Chirp,1,5,1,-144.0650000000003
36959,20773,182,31,127,0.141,Chirp,1,5,1,1.279921875
36960,20666,176,34,74,0.142,Chirp,1,5,1,-144.05500000000032
36961,20773,182,31,127,0.142,Chirp,1,5,1,1.279921875
36962,20667,176,34,76,0.143,Chirp,1,5,1,-144.04300000000032
36963,20773,182,31,127,0.143,Chirp,1,5,1,1.279921875
36964,20668,176,34,73,0.144,Chirp,1,5,1,-144.03400000000033
36965,20773,182,31,127,0.144,Chirp,1,5,1,1.279921875
36966,20669,176,34,72,0.145,Chirp,1,5,1,-144.02600000000032
36967,20773,182,31,127,0.145,Chirp,1,5,1,1.279921875
36968,20670,176,34,72,0.146,Chirp,1,5,1,-144.0180000000003
36969,20773,182,31,127,0.146,Chirp,1,5,1,1.279921875
36970,20671,176,34,73,0.147,Chirp,1,5,1,-144.00900000000033
36971,20773,182,31,127,0.147,Chirp,1,5,1,1.279921875
36972,20672,176,34,75,0.148,Chirp,1,5,1,-143.99800000000033
36973,20773,182,31,127,0.148,Chirp,1,5,1,1.279921875
36974,20673,176,34,72,0.149,Chirp,1,5,1,-143.99000000000032
36975,20773,182,31,127,0.149,Chirp,1,5,1,1.279921875
36976,20674,176,34,73,0.15,Chirp,1,5,1,-143.98100000000034
36977,20773,182,31,127,0.15,Chirp,1,5,1,1.279921875
36978,20675,176,34,72,0.151,Chirp,1,5,1,-143.96500000000034
36979,20773,182,31,127,0.151,Chirp,1,5,1,1.279921875
36980,20675,176,34,72,0.152,Chirp,1,5,1,-143.96500000000034
36981,20773,182,31,127,0.152,Chirp,1,5,1,1.279921875
36982,20677,176,34,73,0.153,Chirp,1,5,1,-143.95600000000036
36983,20773,182,31,127,0.153,Chirp,1,5,1,1.279921875
36984,20678,176,34,70,0.154,Chirp,1,5,1,-143.95000000000036
36985,20773,182,31,127,0.154,Chirp,1,5,1,1.279921875
36986,20679,176,34,70,0.155,Chirp,1,5,1,-143.94400000000036
36987,20773,182,31,127,0.155,Chirp,1,5,1,1.279921875
36988,20680,176,34,71,0.156,Chirp,1,5,1,-143.93700000000035
36989,20773,182,31,127,0.156,Chirp,1,5,1,1.279921875
