,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
307,182,31,127,0.14400000000000002,Flare,1,1,1,1.279765625
171,176,34,67,0.145,Flare,1,1,1,1.0870000000000006
307,182,31,127,0.145,Flare,1,1,1,1.279765625
173,176,34,67,0.146,Flare,1,1,1,1.0930000000000006
307,182,31,127,0.146,Flare,1,1,1,1.279765625
173,176,34,67,0.147,Flare,1,1,1,1.0930000000000006
307,182,31,127,0.147,Flare,1,1,1,1.279765625
175,176,34,67,0.148,Flare,1,1,1,1.0990000000000006
307,182,31,127,0.148,Flare,1,1,1,1.279765625
175,176,34,67,0.149,Flare,1,1,1,1.0990000000000006
307,182,31,127,0.149,Flare,1,1,1,1.279765625
176,176,34,67,0.15,Flare,1,1,1,1.1020000000000008
307,182,31,127,0.15,Flare,1,1,1,1.279765625
178,176,34,66,0.151,Flare,1,1,1,1.1060000000000008
307,182,31,127,0.151,Flare,1,1,1,1.279765625
178,176,34,66,0.152,Flare,1,1,1,1.1060000000000008
307,182,31,127,0.152,Flare,1,1,1,1.279765625
179,176,34,67,0.153,Flare,1,1,1,1.1090000000000009
307,182,31,127,0.153,Flare,1,1,1,1.279765625
181,176,34,67,0.154,Flare,1,1,1,1.112000000000001
307,182,31,127,0.154,Flare,1,1,1,1.279765625
182,176,34,67,0.155,Flare,1,1,1,1.118000000000001
307,182,31,127,0.155,Flare,1,1,1,1.279765625
182,176,34,67,0.156,Flare,1,1,1,1.118000000000001
307,182,31,127,0.156,Flare,1,1,1,1.279765625
184,176,34,67,0.157,Flare,1,1,1,1.124000000000001
307,182,31,127,0.157,Flare,1,1,1,1.279765625
184,176,34,67,0.158,Flare,1,1,1,1.124000000000001
307,182,31,127,0.158,Flare,1,1,1,1.279765625
186,176,34,66,0.159,Flare,1,1,1,1.128000000000001
307,182,31,127,0.159,Flare,1,1,1,1.279765625
186,176,34,66,0.16,Flare,1,1,1,1.128000000000001
307,182,31,127,0.16,Flare,1,1,1,1.279765625
187,176,34,67,0.161,Flare,1,1,1,1.1310000000000011
307,182,31,127,0.161,Flare,1,1,1,1.279765625
189,176,34,66,0.162,Flare,1,1,1,1.1350000000000011
307,182,31,127,0.162,Flare,1,1,1,1.279765625
189,176,34,66,0.163,Flare,1,1,1,1.1350000000000011
307,182,31,127,0.163,Flare,1,1,1,1.279765625
191,176,34,67,0.164,Flare,1,1,1,1.1380000000000012
307,182,31,127,0.164,Flare,1,1,1,1.279765625
192,176,34,66,0.165,Flare,1,1,1,1.1400000000000012
307,182,31,127,0.165,Flare,1,1,1,1.279765625
193,176,34,67,0.166,Flare,1,1,1,1.1430000000000011
307,182,31,127,0.166,Flare,1,1,1,1.279765625
194,176,34,66,0.167,Flare,1,1,1,1.1470000000000011
307,182,31,127,0.167,Flare,1,1,1,1.279765625
194,176,34,66,0.168,Flare,1,1,1,1.1470000000000011
307,182,31,127,0.168,Flare,1,1,1,1.279765625
196,176,34,67,0.169,Flare,1,1,1,1.1500000000000012
307,182,31,127,0.169,Flare,1,1,1,1.279765625
197,176,34,66,0.17,Flare,1,1,1,1.1540000000000012
307,182,31,127,0.17,Flare,1,1,1,1.279765625
197,176,34,66,0.171,Flare,1,1,1,1.1540000000000012
307,182,31,127,0.171,Flare,1,1,1,1.279765625
199,176,34,66,0.17200000000000001,Flare,1,1,1,1.1580000000000013
307,182,31,127,0.17200000000000001,Flare,1,1,1,1.279765625
199,176,34,66,0.173,Flare,1,1,1,1.1580000000000013
307,182,31,127,0.17300000000000001,Flare,1,1,1,1.279765625
201,176,34,66,0.174,Flare,1,1,1,1.1600000000000013
307,182,31,127,0.17400000000000002,Flare,1,1,1,1.279765625
202,176,34,66,0.175,Flare,1,1,1,1.1620000000000013
307,182,31,127,0.17500000000000002,Flare,1,1,1,1.279765625
203,176,34,67,0.176,Flare,1,1,1,1.1650000000000014
307,182,31,127,0.176,Flare,1,1,1,1.279765625
204,176,34,66,0.177,Flare,1,1,1,1.1670000000000014
307,182,31,127,0.177,Flare,1,1,1,1.279765625
205,176,34,67,0.178,Flare,1,1,1,1.1730000000000014
307,182,31,127,0.178,Flare,1,1,1,1.279765625
205,176,34,67,0.179,Flare,1,1,1,1.1730000000000014
307,182,31,127,0.179,Flare,1,1,1,1.279765625
206,176,34,66,0.18,Flare,1,1,1,1.1750000000000014
307,182,31,127,0.18,Flare,1,1,1,1.279765625
208,176,34,67,0.181,Flare,1,1,1,1.1810000000000014
307,182,31,127,0.181,Flare,1,1,1,1.279765625
208,176,34,67,0.182,Flare,1,1,1,1.1810000000000014
307,182,31,127,0.182,Flare,1,1,1,1.279765625
209,176,34,66,0.183,Flare,1,1,1,1.1830000000000014
307,182,31,127,0.183,Flare,1,1,1,1.279765625
210,176,34,67,0.184,Flare,1,1,1,1.1860000000000013
307,182,31,127,0.184,Flare,1,1,1,1.279765625
212,176,34,67,0.185,Flare,1,1,1,1.1920000000000013
307,182,31,127,0.185,Flare,1,1,1,1.279765625
212,176,34,67,0.186,Flare,1,1,1,1.1920000000000013
307,182,31,127,0.186,Flare,1,1,1,1.279765625
214,176,34,67,0.187,Flare,1,1,1,1.1950000000000012
307,182,31,127,0.187,Flare,1,1,1,1.279765625
